case,signal,decile,ann_mean,spread_d10_d1,decile_spearman
high_vix,tail_composite,2,0.1576747369978428,-0.05347729373529736,-0.4787878787878787
high_vix,tail_composite,3,0.17229268695164093,-0.05347729373529736,-0.4787878787878787
high_vix,tail_composite,4,0.13767786250070319,-0.05347729373529736,-0.4787878787878787
high_vix,tail_composite,5,0.13888580208649656,-0.05347729373529736,-0.4787878787878787
high_vix,tail_composite,6,0.2121620254597775,-0.05347729373529736,-0.4787878787878787
high_vix,tail_composite,7,0.163292750876639,-0.05347729373529736,-0.4787878787878787
high_vix,tail_composite,8,0.1610911346044185,-0.05347729373529736,-0.4787878787878787
high_vix,tail_composite,9,0.10151625703206785,-0.05347729373529736,-0.4787878787878787
high_vix,tail_composite,10,0.11123699285094518,-0.05347729373529736,-0.4787878787878787
high_vix,tail_reversal,1,0.11019260497116293,0.05421587134320924,0.4787878787878787
high_vix,tail_reversal,2,0.10250242872284218,0.05421587134320924,0.4787878787878787
high_vix,tail_reversal,3,0.16060566274215843,0.05421587134320924,0.4787878787878787
high_vix,tail_reversal,4,0.16281544850955537,0.05421587134320924,0.4787878787878787
high_vix,tail_reversal,5,0.21179626705104315,0.05421587134320924,0.4787878787878787
high_vix,tail_reversal,6,0.13953221958846165,0.05421587134320924,0.4787878787878787
high_vix,tail_reversal,7,0.13746891433371558,0.05421587134320924,0.4787878787878787
high_vix,tail_reversal,8,0.17232464134741657,0.05421587134320924,0.4787878787878787
high_vix,tail_reversal,9,0.15786936299904603,0.05421587134320924,0.4787878787878787
high_vix,tail_reversal,10,0.16440847631437217,0.05421587134320924,0.4787878787878787
low_vix,ml_score,1,0.10677065648164454,-0.044827529729380304,-0.6121212121212121
low_vix,ml_score,2,0.11757637189292283,-0.044827529729380304,-0.6121212121212121
low_vix,ml_score,3,0.09623034111258731,-0.044827529729380304,-0.6121212121212121
low_vix,ml_score,4,0.10859054259659567,-0.044827529729380304,-0.6121212121212121
low_vix,ml_score,5,0.08450271455986236,-0.044827529729380304,-0.6121212121212121
low_vix,ml_score,6,0.08562359524300037,-0.044827529729380304,-0.6121212121212121
low_vix,ml_score,7,0.11760515105620947,-0.044827529729380304,-0.6121212121212121
low_vix,ml_score,8,0.07423887252094527,-0.044827529729380304,-0.6121212121212121
low_vix,ml_score,9,0.0848594824607729,-0.044827529729380304,-0.6121212121212121
low_vix,ml_score,10,0.06194312675226423,-0.044827529729380304,-0.6121212121212121
low_vix,tail_slope,1,0.12765137532471452,-0.07618083535335331,-0.7696969696969697
low_vix,tail_slope,2,0.09724599903660841,-0.07618083535335331,-0.7696969696969697
low_vix,tail_slope,3,0.08734266125489562,-0.07618083535335331,-0.7696969696969697
low_vix,tail_slope,4,0.08627390255893312,-0.07618083535335331,-0.7696969696969697
low_vix,tail_slope,5,0.09397030584575872,-0.07618083535335331,-0.7696969696969697
low_vix,tail_slope,6,0.0900234679685786,-0.07618083535335331,-0.7696969696969697
low_vix,tail_slope,7,0.09699745602986751,-0.07618083535335331,-0.7696969696969697
low_vix,tail_slope,8,0.07898779022668877,-0.07618083535335331,-0.7696969696969697
low_vix,tail_slope,9,0.08047889550789916,-0.07618083535335331,-0.7696969696969697
low_vix,tail_slope,10,0.05147053997136121,-0.07618083535335331,-0.7696969696969697
low_vix,tail_composite,1,0.1154833937661581,-0.03815582305831142,-0.8424242424242423
low_vix,tail_composite,2,0.09097257574133186,-0.03815582305831142,-0.8424242424242423
low_vix,tail_composite,3,0.12442158383107979,-0.03815582305831142,-0.8424242424242423
low_vix,tail_composite,4,0.10413298448899583,-0.03815582305831142,-0.8424242424242423
low_vix,tail_composite,5,0.11237431443885405,-0.03815582305831142,-0.8424242424242423
low_vix,tail_composite,6,0.07958406598984767,-0.03815582305831142,-0.8424242424242423
low_vix,tail_composite,7,0.09065847941277289,-0.03815582305831142,-0.8424242424242423
low_vix,tail_composite,8,0.09061429598375985,-0.03815582305831142,-0.8424242424242423
low_vix,tail_composite,9,0.06194605272163539,-0.03815582305831142,-0.8424242424242423
low_vix,tail_composite,10,0.07732757070784668,-0.03815582305831142,-0.8424242424242423
low_vix,tail_reversal,1,0.07727535048171524,0.03807900068284509,0.7818181818181817
low_vix,tail_reversal,2,0.06227909858320488,0.03807900068284509,0.7818181818181817
low_vix,tail_reversal,3,0.09003547920505803,0.03807900068284509,0.7818181818181817
low_vix,tail_reversal,4,0.09106478486473937,0.03807900068284509,0.7818181818181817
low_vix,tail_reversal,5,0.08001663366805081,0.03807900068284509,0.7818181818181817
low_vix,tail_reversal,6,0.11117898250127904,0.03807900068284509,0.7818181818181817
low_vix,tail_reversal,7,0.10482663221004224,0.03807900068284509,0.7818181818181817
low_vix,tail_reversal,8,0.12464749512679511,0.03807900068284509,0.7818181818181817
low_vix,tail_reversal,9,0.0909933759729625,0.03807900068284509,0.7818181818181817
low_vix,tail_reversal,10,0.11535435116456033,0.03807900068284509,0.7818181818181817
