strategy,eta,n_months,avg_n_names,gross_ann_mean,gross_sharpe,net_ann_mean,net_sharpe,avg_turnover,avg_cost,p95_participation
tail_composite_low_vix,0.1,83,293.9759036144578,-0.009959607549287201,-0.24117575200654218,-0.01341672268265488,-0.32468696406114356,0.7796060357081334,0.00028809292778063963,0.002002094669700502
tail_composite_low_vix,0.2,83,293.9759036144578,-0.009959607549287201,-0.24117575200654218,-0.014971600651432278,-0.3622358571083334,0.7796060357081334,0.0004176660918454231,0.002002094669700502
tail_reversal_high_vix,0.05,69,319.7391304347826,0.010084064084430144,0.18468391307994378,0.0064421174269908895,0.11796567663083758,0.8235809889569132,0.0003034955547866049,0.0016269496307575984
tail_reversal_high_vix,0.1,69,319.7391304347826,0.010084064084430144,0.18468391307994378,0.005489133646556112,0.10049110660482752,0.8235809889569132,0.00038291086982283624,0.0016269496307575984
tail_reversal_high_vix,0.2,69,319.7391304347826,0.010084064084430144,0.18468391307994378,0.0035831660856865577,0.06556614635597029,0.8235809889569132,0.000541741499895299,0.0016269496307575984
tail_reversal_large_liquid_quarterly_smooth3,0.05,155,189.36774193548388,0.008556667152880717,0.19085291201563345,0.007800140132970106,0.1737419331807285,0.23541121729696288,6.304391832588413e-05,0.001626548090421029
tail_reversal_large_liquid_quarterly_smooth3,0.1,155,189.36774193548388,0.008556667152880717,0.19085291201563345,0.007594357131411945,0.16909536218576143,0.23541121729696288,8.019250178906448e-05,0.001626548090421029
tail_reversal_large_liquid_quarterly_smooth3,0.2,155,189.36774193548388,0.008556667152880717,0.19085291201563345,0.007182791128295616,0.15981059231459246,0.23541121729696288,0.0001144896687154252,0.001626548090421029
tail_reversal_liquid,0.05,152,305.67105263157896,0.00998106873446131,0.20975412732507684,0.006947323526732713,0.14600479603392502,0.7717757655002176,0.00025281210064404967,0.0019431442203870475
tail_reversal_liquid,0.1,152,305.67105263157896,0.00998106873446131,0.20975412732507684,0.006111907854102868,0.12843163760556378,0.7717757655002176,0.0003224300733632035,0.0019431442203870475
tail_reversal_liquid,0.2,152,305.67105263157896,0.00998106873446131,0.20975412732507684,0.004441076508843176,0.09329754519668787,0.7717757655002176,0.00046166601880151125,0.0019431442203870475
tail_reversal_liquid_quarterly_smooth3,0.05,155,300.8258064516129,0.010971247832760751,0.2252747446793562,0.010038934926906927,0.20582170157656002,0.2305752941067515,7.769274215448538e-05,0.0017274974753048239
tail_reversal_liquid_quarterly_smooth3,0.1,155,300.8258064516129,0.010971247832760751,0.2252747446793562,0.009780827708501512,0.2004342903388162,0.2305752941067515,9.920167702160314e-05,0.0017274974753048239
tail_reversal_liquid_quarterly_smooth3,0.2,155,300.8258064516129,0.010971247832760751,0.2252747446793562,0.009264613271690687,0.18967155574116554,0.2305752941067515,0.00014221954675583864,0.0017274974753048239
tail_slope_liquid,0.05,152,305.67105263157896,-0.005906740977694516,-0.11090091148538207,-0.009051877892814433,-0.17022323097905226,0.6736213194329468,0.00026209474292666023,0.002241055886150036
tail_slope_liquid,0.1,152,305.67105263157896,-0.005906740977694516,-0.11090091148538207,-0.0099082332014107,-0.18641700180515344,0.6736213194329468,0.00033345768530968227,0.002241055886150036
tail_slope_liquid,0.2,152,305.67105263157896,-0.005906740977694516,-0.11090091148538207,-0.011620943818603234,-0.2188489799916596,0.6736213194329468,0.00047618357007572646,0.002241055886150036
tail_slope_liquid_quarterly_smooth3,0.05,155,300.8258064516129,-0.01579856556961505,-0.3212814481886211,-0.01677334004990661,-0.34150166448643793,0.19691985757353414,8.123120669096329e-05,0.0019893198694124472
tail_slope_liquid_quarterly_smooth3,0.1,155,300.8258064516129,-0.01579856556961505,-0.3212814481886211,-0.01704149958804343,-0.3470472898492052,0.19691985757353414,0.00010357783486903183,0.0019893198694124472
tail_slope_liquid_quarterly_smooth3,0.2,155,300.8258064516129,-0.01579856556961505,-0.3212814481886211,-0.017577818664317076,-0.3581398165190781,0.19691985757353414,0.00014827109122516894,0.0019893198694124472
tail_slope_reversal_liquid,0.05,152,305.67105263157896,0.005897967915567003,0.11068084290382516,0.002752732681259724,0.05157390199762048,0.6736298284422723,0.00026210293619227323,0.002241055886150036
tail_slope_reversal_liquid,0.1,152,305.67105263157896,0.005897967915567003,0.11068084290382516,0.0018966368109946394,0.03551680907308544,0.6736298284422723,0.0003334442587143633,0.002241055886150036
tail_slope_reversal_liquid,0.2,152,305.67105263157896,0.005897967915567003,0.11068084290382516,0.00018444507046447647,0.003450484324898318,0.6736298284422723,0.0004761269037585435,0.002241055886150036
tail_slope_reversal_liquid_quarterly_smooth3,0.05,155,300.8258064516129,0.015669887648457052,0.3182153468685297,0.01469524973988955,0.29806186127919804,0.19691596421917212,8.121982571395864e-05,0.0019893198694124472
tail_slope_reversal_liquid_quarterly_smooth3,0.1,155,300.8258064516129,0.015669887648457052,0.3182153468685297,0.014427251042932899,0.2925420571427448,0.19691596421917212,0.00010355305046034638,0.0019893198694124472
tail_slope_reversal_liquid_quarterly_smooth3,0.2,155,300.8258064516129,0.015669887648457052,0.3182153468685297,0.01389125364901959,0.2815065547108125,0.19691596421917212,0.00014821949995312192,0.0019893198694124472
